date,area,No.,草高(cm),第3葉柄長(cm),葉数,蕾数,花数,肥大果数,緑熟果数,白熟果数
2025/12/6,area1,1,16.2,10,12,3,1,4,0,0
2025/12/6,area1,2,20.7,15.2,9,5,1,0,0,0
2025/12/6,area1,3,20,13.3,9,2,1,3,0,0
2025/12/6,area1,4,22.1,14.3,9,5,1,1,0,0
2025/12/6,area1,5,18.8,11,12,1,1,2,0,0
2025/12/6,area2,1,21.3,8.3,7,6,2,4,0,0
2025/12/6,area2,2,25.4,15.8,12,2,1,5,0,0
2025/12/6,area2,3,21.5,13.6,7,3,1,5,0,0
2025/12/6,area2,4,20.4,10.8,11,3,0,3,0,0
2025/12/6,area2,5,20.5,6,11,0,2,5,0,0
2025/12/6,area3,1,21.6,10.5,7,4,1,1,0,0
2025/12/6,area3,2,20.7,15.9,8,6,2,3,1,0
2025/12/6,area3,3,21.3,13.6,12,1,3,2,0,0
2025/12/6,area3,4,22.4,14.2,11,1,2,3,1,0
2025/12/6,area3,5,19.4,15.3,9,2,1,4,0,0
