日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2026/01/26 00:00:00",512,0,6.1,80,0.322
"2026/01/26 00:05:00",510,0,7.2,74,0
"2026/01/26 00:10:00",519,0,7.5,73,0
"2026/01/26 00:15:00",511,0,6.6,77,0
"2026/01/26 00:20:00",505,0,6.2,79,0
"2026/01/26 00:25:00",511,0,6.1,80,0
"2026/01/26 00:30:00",511,0,7.3,73,0
"2026/01/26 00:35:00",508,0,7.4,73,0
"2026/01/26 00:40:00",509,0,7,76,0
"2026/01/26 00:45:00",508,0,6.5,78,0
"2026/01/26 00:50:00",514,0,6.2,80,0
"2026/01/26 00:55:00",517,0,6.1,80,0
"2026/01/26 01:00:00",515,0,7.5,75,0
"2026/01/26 01:05:00",519,0,7.8,74,0
"2026/01/26 01:10:00",512,0,7.1,78,0
"2026/01/26 01:15:00",508,0,6.6,80,0
"2026/01/26 01:20:00",514,0,6.5,81,0
"2026/01/26 01:25:00",508,0,6.3,81,0
"2026/01/26 01:30:00",503,0,6.1,82,0
"2026/01/26 01:35:00",511,0,6.1,82,0
"2026/01/26 01:40:00",505,0,7.8,75,0
"2026/01/26 01:45:00",506,0,7.5,76,0
"2026/01/26 01:50:00",512,0,6.8,80,0
"2026/01/26 01:55:00",504,0,6.5,81,0
"2026/01/26 02:00:00",509,0,6.3,82,0
"2026/01/26 02:05:00",506,0,6.1,82,0
"2026/01/26 02:10:00",506,0,6.8,79,0
"2026/01/26 02:15:00",508,0,7.9,75,0
"2026/01/26 02:20:00",505,0,7.2,78,0
"2026/01/26 02:25:00",512,0,6.5,81,0
"2026/01/26 02:30:00",510,0,6.2,82,0
"2026/01/26 02:35:00",506,0,6,82,0
"2026/01/26 02:40:00",505,0,6.9,79,0
"2026/01/26 02:45:00",500,0,7.6,75,0
"2026/01/26 02:50:00",504,0,7.2,78,0
"2026/01/26 02:55:00",511,0,6.5,80,0
"2026/01/26 03:00:00",508,0,6.2,82,0
"2026/01/26 03:05:00",504,0,6,82,0
"2026/01/26 03:10:00",514,0,7.1,78,0
"2026/01/26 03:15:00",508,0,7.8,75,0
"2026/01/26 03:20:00",501,0,7.3,78,0
"2026/01/26 03:25:00",507,0,6.6,81,0
"2026/01/26 03:30:00",506,0,6.2,82,0
"2026/01/26 03:35:00",504,0,6.1,83,0
"2026/01/26 03:40:00",493,0,6.1,83,0
"2026/01/26 03:45:00",501,0,7.4,77,0
"2026/01/26 03:50:00",503,0,7.7,76,0
"2026/01/26 03:55:00",501,0,7,79,0
"2026/01/26 04:00:00",495,0,6.6,82,0
"2026/01/26 04:05:00",501,0,6.4,82,0
"2026/01/26 04:10:00",501,0,6,83,0
"2026/01/26 04:15:00",498,0,6.3,82,0
"2026/01/26 04:20:00",496,0,8,75,0
"2026/01/26 04:25:00",484,0,7.6,77,0
"2026/01/26 04:30:00",501,0,6.8,81,0
"2026/01/26 04:35:00",498,0,6.4,82,0
"2026/01/26 04:40:00",488,0,6.2,83,0
"2026/01/26 04:45:00",486,0,6.1,83,0
"2026/01/26 04:50:00",492,0,6.1,83,0
"2026/01/26 04:55:00",488,0,8.4,75,0
"2026/01/26 05:00:00",486,0,7.9,76,0
"2026/01/26 05:05:00",485,0,7,80,0
"2026/01/26 05:10:00",489,0,6.6,82,0
"2026/01/26 05:15:00",486,0,6.3,83,0
"2026/01/26 05:20:00",482,0,6.1,84,0
"2026/01/26 05:25:00",488,0,6,84,0
"2026/01/26 05:30:00",491,0,7.8,76,0
"2026/01/26 05:35:00",486,0,7.5,77,0
"2026/01/26 05:40:00",488,0,6.8,81,0
"2026/01/26 05:45:00",489,0,6.4,83,0
"2026/01/26 05:50:00",490,0,6.2,84,0
"2026/01/26 05:55:00",495,0,6.3,83,0
"2026/01/26 06:00:00",490,0,8.4,75,0
"2026/01/26 06:05:00",487,0,8.5,74,0
"2026/01/26 06:10:00",492,0,9.7,72,0
"2026/01/26 06:15:00",490,0,9.5,74,0
"2026/01/26 06:20:00",486,0,8.8,74,0
"2026/01/26 06:25:00",492,0,8.5,75,0
"2026/01/26 06:30:00",492,0,8.4,75,0
"2026/01/26 06:35:00",486,0,8.4,76,0
"2026/01/26 06:40:00",486,0,8.5,75,0
"2026/01/26 06:45:00",487,0,8.5,75,0
"2026/01/26 06:50:00",483,0,8.5,75,0
"2026/01/26 06:55:00",487,0,8.6,75,0
"2026/01/26 07:00:00",491,0,8.6,75,0
"2026/01/26 07:05:00",485,0,8.8,75,0
"2026/01/26 07:10:00",490,0,9,74,0
"2026/01/26 07:15:00",490,0,9.1,73,0
"2026/01/26 07:20:00",487,0,9.1,74,0.001
"2026/01/26 07:25:00",489,0,9.1,74,0.001
"2026/01/26 07:30:00",481,0,9.2,74,0.001
"2026/01/26 07:35:00",489,0,9.3,74,0.001
"2026/01/26 07:40:00",486,0,9.6,73,0.001
"2026/01/26 07:45:00",488,0,10.2,70,0.002
"2026/01/26 07:50:00",485,0,10.8,69,0.002
"2026/01/26 07:55:00",478,0,11.8,66,0.003
"2026/01/26 08:00:00",475,0,11.3,70,0.005
"2026/01/26 08:05:00",477,0.01,10.9,72,0.006
"2026/01/26 08:10:00",459,0.01,10.9,73,0.008
"2026/01/26 08:15:00",456,0.01,11,74,0.01
"2026/01/26 08:20:00",446,0.01,11.4,73,0.012
"2026/01/26 08:25:00",442,0.01,12.1,73,0.014
"2026/01/26 08:30:00",427,0.01,12.4,73,0.016
"2026/01/26 08:35:00",422,0.01,13.2,72,0.018
"2026/01/26 08:40:00",406,0.01,15.7,66,0.02
"2026/01/26 08:45:00",396,0.01,17.4,64,0.022
"2026/01/26 08:50:00",388,0.01,18,63,0.024
"2026/01/26 08:55:00",381,0.01,17.3,68,0.027
"2026/01/26 09:00:00",366,0.01,17.3,69,0.029
"2026/01/26 09:05:00",357,0.01,17.2,70,0.031
"2026/01/26 09:10:00",346,0.01,17.6,69,0.033
"2026/01/26 09:15:00",343,0.01,18,70,0.036
"2026/01/26 09:20:00",334,0.01,18.4,70,0.039
"2026/01/26 09:25:00",322,0.01,19.1,70,0.042
"2026/01/26 09:30:00",321,0.01,19.7,69,0.045
"2026/01/26 09:35:00",304,0.01,20.5,68,0.048
"2026/01/26 09:40:00",305,0.01,20.1,68,0.051
"2026/01/26 09:45:00",301,0.01,20,66,0.054
"2026/01/26 09:50:00",306,0.01,20.7,66,0.058
"2026/01/26 09:55:00",298,0.01,20.3,65,0.062
"2026/01/26 10:00:00",318,0.01,18.6,61,0.065
"2026/01/26 10:05:00",330,0.01,20.4,62,0.068
"2026/01/26 10:10:00",329,0.01,21.3,63,0.071
"2026/01/26 10:15:00",330,0.01,21.6,62,0.075
