date,area,No.,草高(cm),第3葉柄長(cm),葉数,蕾数,花数,肥大果数,緑熟果数,白熟果数
2026/1/13,area1,1,39,33,19,6,1,6,2,6
2026/1/13,area1,2,38,30,29,9,5,15,11,15
2026/1/13,area1,3,17,22,10,3,1,9,2,3
2026/1/13,area1,4,35,34,23,5,2,12,9,14
2026/1/13,area1,5,35,29,15,5,1,3,1,4
2026/1/13,area2,1,39,29,17,3,1,6,3,8
2026/1/13,area2,2,39,36,22,5,0,5,2,5
2026/1/13,area2,3,40,31,11,5,0,4,2,6
2026/1/13,area2,4,35,39,13,3,3,5,2,5
2026/1/13,area2,5,39,40,10,8,4,7,4,10
2026/1/13,area3,1,34,35,17,5,2,5,6,7
2026/1/13,area3,2,31,28,15,3,0,6,3,8
2026/1/13,area3,3,26,21,7,2,1,3,1,6
2026/1/13,area3,4,39,36,14,2,3,2,0,0
2026/1/13,area3,5,33,32,16,3,1,3,0,6
