日時,"内部CO2[ppm]","内部日射[kW m-2]","内部気温[C]","内部相対湿度[%]"
"2026/02/02 00:00:00",726,0,10.5,81
"2026/02/02 00:05:00",718,0,10.4,81
"2026/02/02 00:10:00",717,0,10.5,81
"2026/02/02 00:15:00",730,0,10.5,81
"2026/02/02 00:20:00",716,0,10.4,81
"2026/02/02 00:25:00",715,0,10.3,81
"2026/02/02 00:30:00",732,0,10.3,81
"2026/02/02 00:35:00",714,0,10.3,81
"2026/02/02 00:40:00",720,0,10.3,81
"2026/02/02 00:45:00",731,0,10.3,81
"2026/02/02 00:50:00",732,0,10.3,81
"2026/02/02 00:55:00",735,0,10.3,81
"2026/02/02 01:00:00",732,0,10.1,81
"2026/02/02 01:05:00",729,0,10.2,81
"2026/02/02 01:10:00",742,0,10.1,81
"2026/02/02 01:15:00",745,0,10.1,81
"2026/02/02 01:20:00",741,0,10.1,81
"2026/02/02 01:25:00",745,0,10,81
"2026/02/02 01:30:00",740,0,10,81
"2026/02/02 01:35:00",751,0,10.1,81
"2026/02/02 01:40:00",744,0,10,81
"2026/02/02 01:45:00",744,0,10.1,81
"2026/02/02 01:50:00",730,0,10,81
"2026/02/02 01:55:00",741,0,9.9,81
"2026/02/02 02:00:00",744,0,9.9,81
"2026/02/02 02:05:00",732,0,9.9,81
"2026/02/02 02:10:00",745,0,9.9,81
"2026/02/02 02:15:00",734,0,9.8,81
"2026/02/02 02:20:00",730,0,9.8,81
"2026/02/02 02:25:00",738,0,9.9,82
"2026/02/02 02:30:00",726,0,9.9,81
"2026/02/02 02:35:00",725,0,9.8,82
"2026/02/02 02:40:00",719,0,9.7,81
"2026/02/02 02:45:00",722,0,9.7,81
"2026/02/02 02:50:00",716,0,9.7,81
"2026/02/02 02:55:00",706,0,9.8,81
"2026/02/02 03:00:00",714,0,9.6,81
"2026/02/02 03:05:00",711,0,9.7,81
"2026/02/02 03:10:00",721,0,9.6,81
"2026/02/02 03:15:00",714,0,9.6,81
"2026/02/02 03:20:00",710,0,9.4,81
"2026/02/02 03:25:00",697,0,9.5,81
"2026/02/02 03:30:00",773,0,9.6,81
"2026/02/02 03:35:00",709,0,9.5,81
"2026/02/02 03:40:00",726,0,9.6,81
"2026/02/02 03:45:00",720,0,9.6,81
"2026/02/02 03:50:00",709,0,9.5,81
"2026/02/02 03:55:00",712,0,9.5,81
"2026/02/02 04:00:00",710,0,9.5,82
"2026/02/02 04:05:00",695,0,9.6,82
"2026/02/02 04:10:00",709,0,9.6,81
"2026/02/02 04:15:00",698,0,9.6,81
"2026/02/02 04:20:00",699,0,9.6,81
"2026/02/02 04:25:00",704,0,9.6,81
"2026/02/02 04:30:00",693,0,9.7,81
"2026/02/02 04:35:00",701,0,9.6,81
"2026/02/02 04:40:00",695,0,9.6,81
"2026/02/02 04:45:00",697,0,9.6,81
"2026/02/02 04:50:00",703,0,9.6,81
"2026/02/02 04:55:00",695,0,9.6,81
"2026/02/02 05:00:00",692,0,9.6,81
"2026/02/02 05:05:00",707,0,9.6,81
"2026/02/02 05:10:00",701,0,9.8,81
"2026/02/02 05:15:00",705,0,9.8,82
"2026/02/02 05:20:00",721,0,9.9,82
"2026/02/02 05:25:00",731,0,10,82
"2026/02/02 05:30:00",751,0,10.1,83
"2026/02/02 05:35:00",779,0,10.2,83
"2026/02/02 05:40:00",798,0,10.2,83
"2026/02/02 05:45:00",843,0,10.2,83
"2026/02/02 05:50:00",853,0,10.3,84
"2026/02/02 05:55:00",866,0,10.4,84
"2026/02/02 06:00:00",891,0,10.6,84
"2026/02/02 06:05:00",913,0,10.5,84
"2026/02/02 06:10:00",957,0,11.4,87
"2026/02/02 06:15:00",993,0,13.1,85
"2026/02/02 06:20:00",978,0,14.8,79
"2026/02/02 06:25:00",980,0,16.3,74
"2026/02/02 06:30:00",956,0,17.6,71
"2026/02/02 06:35:00",982,0,18.4,69
"2026/02/02 06:40:00",975,0,17.7,69
"2026/02/02 06:45:00",976,0,17.5,71
"2026/02/02 06:50:00",975,0.001,17.8,69
"2026/02/02 06:55:00",1007,0.003,18.2,67
"2026/02/02 07:00:00",1011,0.003,18.5,66
"2026/02/02 07:05:00",1013,0.004,17.5,68
"2026/02/02 07:10:00",1049,0.006,17.5,69
"2026/02/02 07:15:00",1088,0.007,17.9,68
"2026/02/02 07:20:00",1112,0.008,18.6,66
"2026/02/02 07:25:00",1118,0.008,17.9,66
"2026/02/02 07:30:00",1123,0.009,17.2,67
"2026/02/02 07:35:00",1152,0.01,17.6,67
"2026/02/02 07:40:00",1181,0.01,18.2,65
"2026/02/02 07:45:00",1182,0.011,18.4,64
"2026/02/02 07:50:00",1185,0.014,17.5,66
"2026/02/02 07:55:00",1195,0.016,17.8,67
"2026/02/02 08:00:00",1207,0.016,18.7,65
"2026/02/02 08:05:00",1215,0.024,18.5,66
"2026/02/02 08:10:00",1195,0.026,17.9,67
"2026/02/02 08:15:00",1202,0.025,18.7,68
"2026/02/02 08:20:00",1216,0.025,19.5,66
"2026/02/02 08:25:00",1237,0.026,20,64
"2026/02/02 08:30:00",1235,0.027,20.3,64
"2026/02/02 08:35:00",1314,0.029,20.3,65
"2026/02/02 08:40:00",1235,0.033,21.1,64
"2026/02/02 08:45:00",1233,0.033,22,63
"2026/02/02 08:50:00",1232,0.03,22.4,62
"2026/02/02 08:55:00",1249,0.027,22.6,63
"2026/02/02 09:00:00",1227,0.027,22.5,64
"2026/02/02 09:05:00",1224,0.028,22.6,65
"2026/02/02 09:10:00",1216,0.029,22.9,66
"2026/02/02 09:15:00",1214,0.03,23.3,66
"2026/02/02 09:20:00",1213,0.03,23.8,67
