Date,Area,No.,草高,第3葉柄長,葉数,蕾数,花数,肥大果数,緑果数,白熟果実数
1月12日,area1,1,16.7,12.7,11,6,3,0,6,2
1月12日,,2,21,12,16,11,5,1,3,3
1月12日,,3,20.5,12.5,19,5,5,1,11,2
1月12日,,4,18,10.2,15,6,5,0,7,2
1月12日,,5,20,10.5,13,6,3,1,7,2
1月12日,area2,1,18,11.5,12,12,3,1,6,2
1月12日,,2,16,10.3,12,8,1,2,11,3
1月12日,,3,19.2,10.5,17,7,3,1,4,2
1月12日,,4,16.8,10.5,9,4,3,1,5,3
1月12日,,5,19.1,11.5,14,8,1,0,6,4
1月12日,area3,1,24.7,11.8,21,5,1,5,4,6
1月12日,,2,18,13,21,9,4,6,3,6
1月12日,,3,13.6,11.3,14,3,5,7,3,4
1月12日,,4,23.3,13.5,21,13,6,12,0,2
1月12日,,5,21.7,13.9,23,9,4,8,4,7
