日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2026/01/26 00:00:00",423,0,6.3,65,2.18
"2026/01/26 00:05:00",425,0,7.8,64,0
"2026/01/26 00:10:00",429,0,6,69,0
"2026/01/26 00:15:00",423,0,7.8,64,0
"2026/01/26 00:20:00",419,0,6.3,68,0
"2026/01/26 00:25:00",439,0,7.5,64,0
"2026/01/26 00:30:00",418,0,6.3,67,0
"2026/01/26 00:35:00",430,0,6.8,65,0
"2026/01/26 00:40:00",427,0,6.9,65,0
"2026/01/26 00:45:00",434,0,6.3,67,0
"2026/01/26 00:50:00",432,0,7.4,63,0
"2026/01/26 00:55:00",415,0,6,67,0
"2026/01/26 01:00:00",425,0,7.8,63,0
"2026/01/26 01:05:00",419,0,5.8,68,0
"2026/01/26 01:10:00",435,0,7.7,63,0
"2026/01/26 01:15:00",425,0,6.2,66,0
"2026/01/26 01:20:00",434,0,6.6,65,0
"2026/01/26 01:25:00",422,0,7.1,63,0
"2026/01/26 01:30:00",427,0,5.8,67,0
"2026/01/26 01:35:00",429,0,7.6,62,0
"2026/01/26 01:40:00",428,0,5.9,69,0
"2026/01/26 01:45:00",443,0,7.6,64,0
"2026/01/26 01:50:00",442,0,6.2,69,0
"2026/01/26 01:55:00",453,0,7.5,65,0
"2026/01/26 02:00:00",435,0,6.2,70,0
"2026/01/26 02:05:00",446,0,7.1,66,0
"2026/01/26 02:10:00",444,0,6.9,68,0
"2026/01/26 02:15:00",449,0,6.8,67,0
"2026/01/26 02:20:00",436,0,7.7,65,0
"2026/01/26 02:25:00",441,0,6.5,67,0
"2026/01/26 02:30:00",428,0,7.6,63,0
"2026/01/26 02:35:00",424,0,6.1,66,0
"2026/01/26 02:40:00",432,0,7.7,63,0
"2026/01/26 02:45:00",420,0,6,67,0
"2026/01/26 02:50:00",428,0,7.7,63,0
"2026/01/26 02:55:00",414,0,6.4,67,0
"2026/01/26 03:00:00",429,0,7.2,65,0
"2026/01/26 03:05:00",421,0,7,65,0
"2026/01/26 03:10:00",426,0,6.4,67,0
"2026/01/26 03:15:00",416,0,7.5,63,0
"2026/01/26 03:20:00",423,0,5.9,67,0
"2026/01/26 03:25:00",428,0,7.5,63,0
"2026/01/26 03:30:00",419,0,6,68,0
"2026/01/26 03:35:00",438,0,7.2,65,0
"2026/01/26 03:40:00",439,0,6.9,65,0
"2026/01/26 03:45:00",436,0,7,65,0
"2026/01/26 03:50:00",420,0,7.2,66,0
"2026/01/26 03:55:00",425,0,6.9,67,0
"2026/01/26 04:00:00",430,0,7.6,65,0
"2026/01/26 04:05:00",424,0,6.8,66,0
"2026/01/26 04:10:00",429,0,7.7,65,0
"2026/01/26 04:15:00",426,0,6.5,68,0
"2026/01/26 04:20:00",427,0,7.6,65,0
