日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2026/01/19 00:00:00",530,0,11.3,78,0.8
"2026/01/19 00:05:00",532,0,11.1,79,0
"2026/01/19 00:10:00",539,0,10.9,79,0
"2026/01/19 00:15:00",524,0,10.8,79,0
"2026/01/19 00:20:00",539,0,10.7,79,0
"2026/01/19 00:25:00",536,0,10.8,79,0
"2026/01/19 00:30:00",536,0,10.7,79,0
"2026/01/19 00:35:00",532,0,10.6,80,0
"2026/01/19 00:40:00",533,0,10.5,80,0
"2026/01/19 00:45:00",536,0,10.5,80,0
"2026/01/19 00:50:00",533,0,10.4,80,0
"2026/01/19 00:55:00",530,0,10.5,81,0
"2026/01/19 01:00:00",537,0,10.6,80,0
"2026/01/19 01:05:00",537,0,10.6,79,0
"2026/01/19 01:10:00",534,0,10.6,79,0
"2026/01/19 01:15:00",535,0,10.5,79,0
"2026/01/19 01:20:00",528,0,10.5,79,0
"2026/01/19 01:25:00",535,0,10.5,78,0
"2026/01/19 01:30:00",538,0,10.4,78,0
"2026/01/19 01:35:00",528,0,10.5,78,0
"2026/01/19 01:40:00",541,0,10.4,78,0
"2026/01/19 01:45:00",532,0,10.3,78,0
"2026/01/19 01:50:00",534,0,10.3,78,0
"2026/01/19 01:55:00",536,0,10.4,77,0
"2026/01/19 02:00:00",528,0,10.2,78,0
"2026/01/19 02:05:00",533,0,10.3,78,0
"2026/01/19 02:10:00",534,0,10.1,78,0
"2026/01/19 02:15:00",530,0,9.8,79,0
"2026/01/19 02:20:00",533,0,9.9,79,0
"2026/01/19 02:25:00",529,0,9.8,79,0
"2026/01/19 02:30:00",526,0,9.8,79,0
"2026/01/19 02:35:00",528,0,9.8,79,0
"2026/01/19 02:40:00",536,0,10,78,0
"2026/01/19 02:45:00",530,0,9.8,78,0
"2026/01/19 02:50:00",532,0,10,78,0
"2026/01/19 02:55:00",526,0,9.9,78,0
"2026/01/19 03:00:00",530,0,9.9,78,0
"2026/01/19 03:05:00",535,0,10,78,0
"2026/01/19 03:10:00",524,0,9.9,78,0
"2026/01/19 03:15:00",530,0,9.9,77,0
"2026/01/19 03:20:00",525,0,9.8,77,0
"2026/01/19 03:25:00",526,0,9.9,78,0
"2026/01/19 03:30:00",529,0,10,78,0
"2026/01/19 03:35:00",521,0,9.9,78,0
"2026/01/19 03:40:00",521,0,9.8,78,0
"2026/01/19 03:45:00",526,0,9.8,77,0
"2026/01/19 03:50:00",523,0,9.7,78,0
"2026/01/19 03:55:00",527,0,9.6,79,0
"2026/01/19 04:00:00",520,0,9.4,79,0
"2026/01/19 04:05:00",526,0,9.4,80,0
"2026/01/19 04:10:00",523,0,9.4,80,0
"2026/01/19 04:15:00",529,0,9.5,79,0
"2026/01/19 04:20:00",524,0,9.4,79,0
"2026/01/19 04:25:00",523,0,9.2,79,0
"2026/01/19 04:30:00",526,0,9.2,80,0
"2026/01/19 04:35:00",531,0,9.2,80,0
"2026/01/19 04:40:00",533,0,9.3,81,0
"2026/01/19 04:45:00",532,0,9.3,81,0
"2026/01/19 04:50:00",529,0,9.4,81,0
"2026/01/19 04:55:00",532,0,9.6,81,0
"2026/01/19 05:00:00",530,0,9.6,81,0
"2026/01/19 05:05:00",527,0,9.6,82,0
"2026/01/19 05:10:00",535,0,9.6,83,0
"2026/01/19 05:15:00",528,0,9.7,83,0
"2026/01/19 05:20:00",537,0,9.7,83,0
"2026/01/19 05:25:00",533,0,9.8,83,0
"2026/01/19 05:30:00",533,0,9.8,83,0
"2026/01/19 05:35:00",539,0,9.7,83,0
"2026/01/19 05:40:00",544,0,9.8,83,0
