date,area,No.,草高(cm),第3葉柄長(cm),葉数,蕾数,花数,肥大果数,緑熟果数,白熟果数
2026/1/27,area1,1,39,18,20,4,4,11,11,12
2026/1/27,area1,2,30,22,20,4,1,12,10,13
2026/1/27,area1,3,36.5,17,26,2,3,15,4,18
2026/1/27,area1,4,30,25,11,3,1,1,2,3
2026/1/27,area1,5,36,20,14,2,3,1,6,5
2026/1/27,area2,1,36,20,23,8,4,6,5,5
2026/1/27,area2,2,43,20,19,5,6,4,4,14
2026/1/27,area2,3,40,21,10,4,3,3,2,5
2026/1/27,area2,4,35,23,14,4,3,2,3,5
2026/1/27,area2,5,33,27,12,3,1,5,6,11
2026/1/27,area3,1,33,22,20,7,3,3,3,9
2026/1/27,area3,2,28,20,13,4,1,5,1,6
2026/1/27,area3,3,20,15,8,3,1,4,0,4
2026/1/27,area3,4,35,21,21,3,0,4,4,5
2026/1/27,area3,5,36,18,19,6,4,2,4,7
