Date,Area,No.,草高,第3葉柄長,葉数,蕾数,花数,肥大果数,緑果数,白熟果実数
12月8日,area1,1,12.5,10,22,6,1,2,1,0
12月8日,,2,13.4,9.4,30,3,1,3,1,0
12月8日,,3,17.9,8.5,34,5,1,3,4,0
12月8日,,4,14.6,9,29,9,0,2,1,0
12月8日,,5,11.8,8.6,22,9,2,1,1,0
12月8日,area2,1,11,9.8,19,1,1,0,1,0
12月8日,,2,15,13.5,25,3,0,0,4,0
12月8日,,3,12,9,29,1,1,2,6,0
12月8日,,4,12.5,7.5,25,1,2,2,5,0
12月8日,,5,14,8.7,22,4,0,3,1,0
12月8日,area3,1,17.5,9,37,3,1,1,4,1
12月8日,,2,12,8,38,2,2,1,2,0
12月8日,,3,18.2,10.5,32,2,1,1,2,0
12月8日,,4,20,15.3,42,3,3,1,4,0
12月8日,,5,20,12,33,2,1,0,3,0
